"questionId","contentUnitId","secondaryDomainSignals","catalog","sceneId","sceneVersion","sceneContentHash","questionContentHash","openingGeometryHash","ageBand","domainId","domainName","conceptId","conceptName","domainConceptMappingMethod","learningObjective","objectiveSource","format","cognitiveDemand","reflectionType","contextZone","sourceSupport","reviewStatus","navigationExposure","changedCueGenuine","changedCueManuallyVerified","evidenceStrength","evidenceRationale"
"exp26-u7-002-q1","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","20592b8e03e2a4cf7f30251fcb5ec9f5da9770d542bca8b0f5af84a67c0bb16a","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","choice","recall","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q2","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","d2901eff0ee761a0e83f2ac003f7f245bb15901b13171d35e9225f3ff8e32f0b","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","choice","recall","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q3","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","e863767a1e18b515f00f579c4783723939c0b5114108fced2c4addb55b171978","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","sequence","apply-sequence","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q4","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","1c23a4950c864aa7d67d81d376ccf8dcddb7a412113520cb450e457384720127","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","position","apply-spatial","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q5","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","ca05186cfdee9723805f9e9aa36ac54a8ad8a07f0b734a636743d2fb443967f9","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","choice","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","revised-and-rechecked","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q6","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","5675dbb1ced01cff9c460717c1ec8e68de33be2f8060eaebbe19e19d6126c897","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","explain","analyze","required","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q7","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","1caae03c76a5b60df725e5d266595ae6a6ad39f180ff4f70bfc40ae516066da1","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","choice","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q8","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","cbfe169cc8e54075e3392e1ecdeb55d181bf02947cb525cd7bf925c3d5b8e8a5","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","multi","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q9","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","69a921bc0872878522a627bb1434c640d9701878472c8f29ed4c3a44752f45f7","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","position","apply-spatial","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-002-q10","","","experimental-bank","exp26-u7-002","2","ceba22fd4199d562","6785eda1ebab7c1b5b998092aa127335e6feb54256a415eb7fa5dc2684b45601","53b89c1038db2ce9","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Tell a loose puck from a carried puck.","authored-objective-field","explain","analyze","optional-reflection","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Tell a loose puck from a carried puck.” is taught through recognition of the developing play; the opening check “Who has the puck right now?” makes that learner task explicit in this scene."
"exp26-u7-003-q1","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","c511e50e42a0cb95c5668d0400e0f3c2b7ec1df81457cdb7eb9ae7c29b7fd2d4","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","choice","recall","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q2","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","29d6715d66577e9d8c09aa0ba84d37c5d37cac07fa2cfefbb0ca021236210d85","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","multi","recall","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q3","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","4edd109d446da6569c5868951498e62d8dfc53247e78700907ff431896efed53","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","sequence","apply-sequence","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q4","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","05ff40b2a6ab04b1a2570a5d20d770f06c4b77cf0f46d4253310d8bb441c6cfd","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","position","apply-spatial","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q5","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","97bc4ce6e526ae4bc062cc84127fee8152e2e38130b226756a4a2a234a232c0f","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","choice","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q6","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","9e7ccacf2f0b424197a7c84ad4c64c95086bea4538f98abd714c06d5443c4ce0","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","explain","analyze","required","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q7","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","262128709cf8f2ab8dcdb2a965a3b664d75f6109543d0ad056ac8db406bce7b4","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","choice","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q8","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","6dd909391e93ca84aca3a1bb8996576fe0712dbfdb6cbf239a46db4f63c3ff94","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","multi","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q9","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","61cf5f73cdb40a2a66724340365954a597f38d80ae7acf1b67a1ec9085991237","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","position","apply-spatial","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
"exp26-u7-003-q10","","","experimental-bank","exp26-u7-003","2","e513d0485bdb1df8","ede5d09c096fa8e0b8ec8a11c08d0a5830a8d79e5b0f7d809c740f89ccdface3","20b5a8d03403e1e2","U7","hockey-sense","Hockey Sense","time-and-space","Time And Space","explicit-scene-binding","Notice an occupied route and a roomier practice area.","authored-objective-field","explain","analyze","optional-reflection","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""Hockey Canada: 7 Principles for Coaches: Puck Control"",""url"":""https://www.hockeycanada.ca/en-ca/news/seven-coaching-principles-puck-control-2024-ncw""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Notice an occupied route and a roomier practice area.” is taught through using available space and the time the freeze provides; the opening check “Who is directly ahead of YOU?” makes that learner task explicit in this scene."
