"sceneId","questionId","age","topic","family","type","basis","prompt"
"exp26-u7-003","exp26-u7-003-q4","U7","Puck control","open-space-carry","position","coaching","Move YOU into the empty practice space away from Navy2."
"exp26-u7-003","exp26-u7-003-q5","U7","Puck control","open-space-carry","choice","coaching","Imagine Navy2 moves into that empty space. What could you do?"
"exp26-u7-003","exp26-u7-003-q6","U7","Puck control","open-space-carry","explain","coaching","Point to one thing you checked before carrying."
"exp26-u7-003","exp26-u7-003-q7","U7","Puck control","open-space-carry","choice","coaching","If Gold1 covers your first angle, what should Navy2 see?"
"exp26-u7-003","exp26-u7-003-q8","U7","Puck control","open-space-carry","multi","coaching","After moving, what two players should YOU check?"
"exp26-u7-003","exp26-u7-003-q9","U7","Puck control","open-space-carry","position","coaching","Place YOU in a spot where the way to Navy2 stays open."
"exp26-u7-003","exp26-u7-003-q10","U7","Puck control","open-space-carry","explain","coaching","Imagine YOU pass to Navy2 and Navy2 now has the puck. How can you show you are ready for a return pass?"
"exp26-u7-004","exp26-u7-004-q1","U7","Rink awareness","rink-landmark-reset","choice","scene","What does the coach call the nearby red ring?"
"exp26-u7-004","exp26-u7-004-q2","U7","Rink awareness","rink-landmark-reset","choice","scene","Where are YOU starting?"
"exp26-u7-004","exp26-u7-004-q3","U7","Rink awareness","rink-landmark-reset","sequence","coaching","Arrange the return to our practice spot."
"exp26-u7-004","exp26-u7-004-q4","U7","Rink awareness","rink-landmark-reset","position","coaching","Move YOU toward the middle of that faceoff circle."
"exp26-u7-004","exp26-u7-004-q5","U7","Rink awareness","rink-landmark-reset","choice","coaching","Imagine Navy2 stands in the middle first. What could you do?"
"exp26-u7-004","exp26-u7-004-q6","U7","Rink awareness","rink-landmark-reset","explain","coaching","Point to the boards, then point to the circle."
"exp26-u7-004","exp26-u7-004-q7","U7","Rink awareness","rink-landmark-reset","choice","coaching","While YOU wait for your turn, what helps YOU look after the puck?"
"exp26-u7-004","exp26-u7-004-q8","U7","Rink awareness","rink-landmark-reset","multi","coaching","Before leaving the boards for your turn, what should YOU check?"
"exp26-u7-004","exp26-u7-004-q9","U7","Rink awareness","rink-landmark-reset","position","coaching","For another waiting spot, move Navy2 outside the circle on its centre-ice side."
"exp26-u7-004","exp26-u7-004-q10","U7","Rink awareness","rink-landmark-reset","explain","coaching","Can you skate across the painted circle line to reach the middle? What should you look for?"
"exp26-u7-005","exp26-u7-005-q1","U7","Skating awareness","practice-stop","choice","scene","What does this practice whistle mean?"
"exp26-u7-005","exp26-u7-005-q2","U7","Skating awareness","practice-stop","multi","coaching","Which things help after that signal?"
"exp26-u7-005","exp26-u7-005-q3","U7","Skating awareness","practice-stop","sequence","coaching","Order this practice stop."
"exp26-u7-005","exp26-u7-005-q4","U7","Skating awareness","practice-stop","choice","coaching","Is stopping the same as skating faster?"
"exp26-u7-005","exp26-u7-005-q5","U7","Skating awareness","practice-stop","choice","coaching","Now the coach invites a restart in your lane. What could you do?"
"exp26-u7-005","exp26-u7-005-q6","U7","Skating awareness","practice-stop","explain","coaching","Tell a grown-up what you would listen for next."
"exp26-u7-005","exp26-u7-005-q7","U7","Skating awareness","practice-stop","choice","coaching","You have stopped, but the puck slides away. What could YOU do while the coach is talking?"
"exp26-u7-005","exp26-u7-005-q8","U7","Skating awareness","practice-stop","multi","coaching","Before turning to listen, what helps YOU give Navy2 room?"
"exp26-u7-005","exp26-u7-005-q9","U7","Skating awareness","practice-stop","position","coaching","The coach asks Navy2 to use more space for the next try. Move Navy2 farther from YOUR lane."
"exp26-u7-005","exp26-u7-005-q10","U7","Skating awareness","practice-stop","explain","coaching","You did not hear what the coach said next. What could you say?"
"exp26-u7-006","exp26-u7-006-q1","U7","Passing","beginner-receiving","choice","scene","Who starts with the puck?"
"exp26-u7-006","exp26-u7-006-q2","U7","Passing","beginner-receiving","choice","scene","What is YOUR job in this activity?"
"exp26-u7-006","exp26-u7-006-q3","U7","Passing","beginner-receiving","sequence","coaching","Arrange a simple partner pass."
"exp26-u7-006","exp26-u7-006-q4","U7","Passing","beginner-receiving","position","coaching","Move YOU a little nearer, leaving space between partners."
"exp26-u7-006","exp26-u7-006-q5","U7","Passing","beginner-receiving","choice","coaching","Imagine Navy2 is not ready yet. What could you do?"
"exp26-u7-006","exp26-u7-006-q6","U7","Passing","beginner-receiving","explain","coaching","How could you show your partner you are ready?"
"exp26-u7-006","exp26-u7-006-q7","U7","Passing","beginner-receiving","choice","coaching","Imagine Navy2’s pass slides a little behind YOU. What could YOU do?"
"exp26-u7-006","exp26-u7-006-q8","U7","Passing","beginner-receiving","multi","scene","Which two things can YOU see that help YOU get ready?"
"exp26-u7-006","exp26-u7-006-q9","U7","Passing","beginner-receiving","position","coaching","Move YOU to a second waiting spot that keeps the ice to Navy2 open."
"exp26-u7-006","exp26-u7-006-q10","U7","Passing","beginner-receiving","explain","coaching","Gold1 is not in this try. What would change if Gold1 joined in?"
"exp26-u7-007","exp26-u7-007-q1","U7","Rink awareness","rotating-goal-role","choice","scene","Which goal are YOU defending?"
"exp26-u7-007","exp26-u7-007-q2","U7","Rink awareness","rotating-goal-role","choice","scene","What did the coach call the blue area by the net?"
"exp26-u7-007","exp26-u7-007-q3","U7","Rink awareness","rotating-goal-role","sequence","coaching","Arrange our goal-defending turns."
"exp26-u7-007","exp26-u7-007-q4","U7","Rink awareness","rotating-goal-role","multi","scene","Which facts belong to this activity?"
"exp26-u7-007","exp26-u7-007-q5","U7","Rink awareness","rotating-goal-role","choice","coaching","Imagine Navy2 gains control of the puck. Who has it then?"
"exp26-u7-007","exp26-u7-007-q6","U7","Rink awareness","rotating-goal-role","explain","coaching","How could you help Navy2 enjoy the next turn?"
"exp26-u7-007","exp26-u7-007-q7","U7","Rink awareness","rotating-goal-role","choice","coaching","It is YOUR turn near the navy net. Where should YOU look first?"
"exp26-u7-007","exp26-u7-007-q8","U7","Rink awareness","rotating-goal-role","multi","coaching","Which two things tell YOU where the play is right now?"
"exp26-u7-007","exp26-u7-007-q9","U7","Rink awareness","rotating-goal-role","position","coaching","Move YOU to a spot in front of the navy net where you can still see the puck."
"exp26-u7-007","exp26-u7-007-q10","U7","Rink awareness","rotating-goal-role","explain","coaching","Why does everyone get a turn defending the goal?"
"exp26-u7-008","exp26-u7-008-q1","U7","Scanning","scan-behind","choice","scene","Where is Navy2 compared with the way YOU face?"
"exp26-u7-008","exp26-u7-008-q2","U7","Scanning","scan-behind","multi","coaching","What can looking around help you find?"
"exp26-u7-008","exp26-u7-008-q3","U7","Scanning","scan-behind","sequence","coaching","Arrange this looking activity."
"exp26-u7-008","exp26-u7-008-q4","U7","Scanning","scan-behind","position","coaching","For a second try, move YOU away from the side with Navy2."
"exp26-u7-008","exp26-u7-008-q5","U7","Scanning","scan-behind","choice","coaching","Imagine Navy2 skates ahead of YOU. Should you keep pointing behind?"
"exp26-u7-008","exp26-u7-008-q6","U7","Scanning","scan-behind","explain","coaching","Point to one thing you might miss by only watching the puck."
"exp26-u7-008","exp26-u7-008-q7","U7","Scanning","scan-behind","choice","coaching","Gold1 moves into the way ahead. What could YOU look for behind your shoulder?"
"exp26-u7-008","exp26-u7-008-q8","U7","Scanning","scan-behind","multi","coaching","What should YOU check before a pass back to Navy2?"
"exp26-u7-008","exp26-u7-008-q9","U7","Scanning","scan-behind","position","coaching","Move Navy2 to a new waiting place behind YOU, with room for a short pass."
"exp26-u7-008","exp26-u7-008-q10","U7","Scanning","scan-behind","explain","coaching","Why might a short pass back to Navy2 help you go forward later?"
"exp26-u7-009","exp26-u7-009-q1","U7","Passing","after-pass-role","choice","scene","Who controls the puck now?"
"exp26-u7-009","exp26-u7-009-q2","U7","Passing","after-pass-role","choice","scene","Does this picture show the whole moving pass?"
"exp26-u7-009","exp26-u7-009-q3","U7","Passing","after-pass-role","sequence","scene","Put these stated events in order."
"exp26-u7-009","exp26-u7-009-q4","U7","Passing","after-pass-role","position","coaching","Find separate space where Navy2 can still see YOU."
"exp26-u7-009","exp26-u7-009-q5","U7","Passing","after-pass-role","choice","coaching","Imagine Navy2 asks for a return target. What could you do?"
"exp26-u7-009","exp26-u7-009-q6","U7","Passing","after-pass-role","explain","coaching","What changed for YOU when the pass finished?"
"exp26-u7-009","exp26-u7-009-q7","U7","Passing","after-pass-role","choice","coaching","Gold1 skates closer to Navy2. What could YOU do to stay useful?"
"exp26-u7-009","exp26-u7-009-q8","U7","Passing","after-pass-role","multi","coaching","Which two things should YOU watch now that Navy2 has the puck?"
"exp26-u7-009","exp26-u7-009-q9","U7","Passing","after-pass-role","position","coaching","Place YOU in open space where Navy2 could pass to YOU, away from Gold1."
"exp26-u7-009","exp26-u7-009-q10","U7","Passing","after-pass-role","explain","coaching","Why does Navy2 need room after taking the pass?"
"exp26-u7-010","exp26-u7-010-q1","U7","Teamwork","reset-after-mistake","choice","scene","Who has the puck after the missed pass?"
"exp26-u7-010","exp26-u7-010-q2","U7","Teamwork","reset-after-mistake","multi","coaching","Which words could encourage Navy2?"
"exp26-u7-010","exp26-u7-010-q3","U7","Teamwork","reset-after-mistake","sequence","coaching","Arrange one helpful response."
"exp26-u7-010","exp26-u7-010-q4","U7","Teamwork","reset-after-mistake","position","coaching","For the next reset, find separate practice space near Navy2."
"exp26-u7-010","exp26-u7-010-q5","U7","Teamwork","reset-after-mistake","choice","coaching","Imagine YOU miss the next pass. What could help?"
"exp26-u7-010","exp26-u7-010-q6","U7","Teamwork","reset-after-mistake","explain","coaching","Say one kind thing you would like a teammate to tell you."
"exp26-u7-010","exp26-u7-010-q7","U7","Teamwork","reset-after-mistake","choice","coaching","Gold1 has the puck now. What is a good first thing for YOU to do?"
"exp26-u7-010","exp26-u7-010-q8","U7","Teamwork","reset-after-mistake","multi","scene","Which two things are true in this picture?"
"exp26-u7-010","exp26-u7-010-q9","U7","Teamwork","reset-after-mistake","position","coaching","Place YOU in open space where Navy2 can find YOU for the next try."
"exp26-u7-010","exp26-u7-010-q10","U7","Teamwork","reset-after-mistake","explain","coaching","What does “another try” mean after a missed pass?"
"exp26b-u7-001","exp26b-u7-001-q1","U7","Puck control","loose-puck-scan","choice","scene","Who has the puck now?"
"exp26b-u7-001","exp26b-u7-001-q2","U7","Puck control","loose-puck-scan","multi","coaching","What should you notice as you go to the puck?"
"exp26b-u7-001","exp26b-u7-001-q3","U7","Puck control","loose-puck-scan","position","coaching","Place YOU near the loose puck, with room to see Gold1."
"exp26b-u7-001","exp26b-u7-001-q4","U7","Puck control","loose-puck-scan","sequence","coaching","After reaching the loose puck, put these possible next events in order."
"exp26b-u7-001","exp26b-u7-001-q5","U7","Puck control","loose-puck-scan","choice","coaching","Gold1 reaches the loose puck first and controls it. What should YOU change?"
"exp26b-u7-001","exp26b-u7-001-q6","U7","Puck control","loose-puck-scan","explain","coaching","Why does Navy2 matter after you find the puck?"
"exp26b-u7-002","exp26b-u7-002-q1","U7","Puck control","open-ice-carry","choice","scene","Who has the puck?"
"exp26b-u7-002","exp26b-u7-002-q2","U7","Puck control","open-ice-carry","multi","scene","Which two clues shape your carry?"
"exp26b-u7-002","exp26b-u7-002-q3","U7","Puck control","open-ice-carry","position","coaching","Place YOU in the upper open side before carrying."
"exp26b-u7-002","exp26b-u7-002-q4","U7","Puck control","open-ice-carry","sequence","coaching","Arrange a safe carry check."
"exp26b-u7-002","exp26b-u7-002-q5","U7","Puck control","open-ice-carry","choice","coaching","Imagine Gold1 shifts across the lane. What should YOU do?"
"exp26b-u7-002","exp26b-u7-002-q6","U7","Puck control","open-ice-carry","explain","coaching","Why keep your feet moving toward room?"
"exp26b-u7-003","exp26b-u7-003-q1","U7","Passing","support-angle","choice","scene","Who has the puck?"
"exp26b-u7-003","exp26b-u7-003-q2","U7","Passing","support-angle","multi","coaching","What can help Navy2 find a pass?"
"exp26b-u7-003","exp26b-u7-003-q3","U7","Passing","support-angle","position","coaching","Place YOU in open middle space where Navy2 can see you."
"exp26b-u7-003","exp26b-u7-003-q4","U7","Passing","support-angle","sequence","coaching","Put the support read in order."
"exp26b-u7-003","exp26b-u7-003-q5","U7","Passing","support-angle","choice","coaching","Imagine Gold1 follows your first move. What is a useful change?"
"exp26b-u7-003","exp26b-u7-003-q6","U7","Passing","support-angle","explain","coaching","Why does your place matter to Navy2?"
"exp26b-u7-004","exp26b-u7-004-q1","U7","Defending","role-change","choice","scene","Who has the puck now?"
"exp26b-u7-004","exp26b-u7-004-q2","U7","Defending","role-change","multi","scene","What should YOU notice after the change?"
"exp26b-u7-004","exp26b-u7-004-q3","U7","Defending","role-change","position","coaching","Place YOU between Gold1 and the navy end to help."
"exp26b-u7-004","exp26b-u7-004-q4","U7","Defending","role-change","sequence","coaching","Arrange the role-change read."
"exp26b-u7-004","exp26b-u7-004-q5","U7","Defending","role-change","choice","coaching","Imagine Gold1 shifts across the lane. What should guide YOU?"
"exp26b-u7-004","exp26b-u7-004-q6","U7","Defending","role-change","explain","coaching","Why did your job change when Gold1 got the puck?"
"exp26b-u7-005","exp26b-u7-005-q1","U7","Off-puck support","net-front-support","choice","scene","Who has the puck?"
"exp26b-u7-005","exp26b-u7-005-q2","U7","Off-puck support","net-front-support","multi","scene","What makes this a crowded spot?"
"exp26b-u7-005","exp26b-u7-005-q3","U7","Off-puck support","net-front-support","position","coaching","Place YOU in open space above Navy2, still near the play."
"exp26b-u7-005","exp26b-u7-005-q4","U7","Off-puck support","net-front-support","sequence","coaching","Put this support move in order."
"exp26b-u7-005","exp26b-u7-005-q5","U7","Off-puck support","net-front-support","choice","coaching","Imagine Gold1 leaves the net side and follows YOU. What is a good next read?"
"exp26b-u7-005","exp26b-u7-005-q6","U7","Off-puck support","net-front-support","explain","coaching","Why make room for Navy2?"
"exp26b-u7-006","exp26b-u7-006-q1","U7","Puck control","puck-protection-turn","choice","scene","Which player is closer to the middle of the ice than YOU?"
"exp26b-u7-006","exp26b-u7-006-q2","U7","Puck control","puck-protection-turn","multi","coaching","What can help protect the puck?"
"exp26b-u7-006","exp26b-u7-006-q3","U7","Puck control","puck-protection-turn","position","coaching","Place YOU a little closer to the wall side, away from Gold1."
"exp26b-u7-006","exp26b-u7-006-q4","U7","Puck control","puck-protection-turn","sequence","coaching","Put the protection read in order."
"exp26b-u7-006","exp26b-u7-006-q5","U7","Puck control","puck-protection-turn","choice","coaching","Imagine Gold1 reaches the wall side too. What is a smart update?"
"exp26b-u7-006","exp26b-u7-006-q6","U7","Puck control","puck-protection-turn","explain","coaching","Why keep the puck away from Gold1?"
"exp26b-u7-007","exp26b-u7-007-q1","U7","Off-puck support","support-lane","choice","scene","Who carries the puck?"
"exp26b-u7-007","exp26b-u7-007-q2","U7","Off-puck support","support-lane","multi","coaching","What should YOU change?"
"exp26b-u7-007","exp26b-u7-007-q3","U7","Off-puck support","support-lane","position","coaching","Place YOU in a separate lane, wider toward the side boards."
"exp26b-u7-007","exp26b-u7-007-q4","U7","Off-puck support","support-lane","sequence","coaching","Arrange a support move."
"exp26b-u7-007","exp26b-u7-007-q5","U7","Off-puck support","support-lane","choice","coaching","Imagine Gold1 moves toward your new lane. What could help?"
"exp26b-u7-007","exp26b-u7-007-q6","U7","Off-puck support","support-lane","explain","coaching","Why does a quiet lane help Navy2?"
"exp26b-u7-008","exp26b-u7-008-q1","U7","Passing","pass-follow-support","choice","scene","Who has the puck after the pass?"
"exp26b-u7-008","exp26b-u7-008-q2","U7","Passing","pass-follow-support","multi","scene","Who can YOU look for next?"
"exp26b-u7-008","exp26b-u7-008-q3","U7","Passing","pass-follow-support","position","coaching","Place YOU where you can see Navy3 and Gold1."
"exp26b-u7-008","exp26b-u7-008-q4","U7","Passing","pass-follow-support","sequence","coaching","Put the new-owner read in order."
"exp26b-u7-008","exp26b-u7-008-q5","U7","Passing","pass-follow-support","choice","coaching","Gold1 closes the middle. What might change?"
"exp26b-u7-008","exp26b-u7-008-q6","U7","Passing","pass-follow-support","explain","coaching","Why look again after receiving?"
"exp26b-u7-009","exp26b-u7-009-q1","U7","Rink awareness","rink-landmark-support","choice","scene","What rink area did the coach name?"
"exp26b-u7-009","exp26b-u7-009-q2","U7","Rink awareness","rink-landmark-support","multi","scene","What should you see before moving there?"
"exp26b-u7-009","exp26b-u7-009-q3","U7","Rink awareness","rink-landmark-support","position","coaching","Place YOU near the named blue line, away from Gold1."
"exp26b-u7-009","exp26b-u7-009-q4","U7","Rink awareness","rink-landmark-support","sequence","coaching","Arrange the meeting-line read."
"exp26b-u7-009","exp26b-u7-009-q5","U7","Rink awareness","rink-landmark-support","choice","coaching","Gold1 moves toward the blue line. What should you do?"
"exp26b-u7-009","exp26b-u7-009-q6","U7","Rink awareness","rink-landmark-support","explain","coaching","How can a named line help your team?"
"exp26b-u7-010","exp26b-u7-010-q1","U7","Puck recovery","recovery-change","choice","scene","Who has the puck after the missed pass?"
"exp26b-u7-010","exp26b-u7-010-q2","U7","Puck recovery","recovery-change","multi","scene","What should YOU notice on the way?"
"exp26b-u7-010","exp26b-u7-010-q3","U7","Puck recovery","recovery-change","position","coaching","Place YOU near the puck with Gold1 in view."
"exp26b-u7-010","exp26b-u7-010-q4","U7","Puck recovery","recovery-change","sequence","coaching","Put the recovery read in order."
"exp26b-u7-010","exp26b-u7-010-q5","U7","Puck recovery","recovery-change","choice","coaching","Gold1 reaches the puck area first. What should you update?"
"exp26b-u7-010","exp26b-u7-010-q6","U7","Puck recovery","recovery-change","explain","coaching","Why is this a new read after the pass misses?"
"exp26-u9-001","exp26-u9-001-q1","U9","Passing","support-off-boards","choice","scene","What is between Navy2 and YOUR current spot?"
"exp26-u9-001","exp26-u9-001-q2","U9","Passing","support-off-boards","multi","coaching","Which cues matter before asking for a pass?"
"exp26-u9-001","exp26-u9-001-q3","U9","Passing","support-off-boards","position","coaching","Move YOU away from the boards toward a clearer window near the faceoff circle."
"exp26-u9-001","exp26-u9-001-q4","U9","Passing","support-off-boards","sequence","coaching","Arrange one way to become a target."
"exp26-u9-001","exp26-u9-001-q5","U9","Passing","support-off-boards","choice","coaching","Imagine Gold1 follows into your new window. What might help?"
"exp26-u9-001","exp26-u9-001-q6","U9","Passing","support-off-boards","explain","coaching","How did leaving the boards change the passing picture?"
"exp26-u9-001","exp26-u9-001-q7","U9","Passing","support-off-boards","choice","coaching","No window opens for YOU right now. What is a fair read?"
"exp26-u9-001","exp26-u9-001-q8","U9","Passing","support-off-boards","multi","coaching","What two players must YOU read after moving?"
"exp26-u9-001","exp26-u9-001-q9","U9","Passing","support-off-boards","position","coaching","Place YOU closer to Navy2 for a shorter pass, off the boards."
"exp26-u9-001","exp26-u9-001-q10","U9","Passing","support-off-boards","explain","coaching","Why is the faceoff circle only a search area?"
"exp26-u9-002","exp26-u9-002-q1","U9","Off-puck support","support-spacing","choice","scene","Which navy player is closest to Navy2?"
"exp26-u9-002","exp26-u9-002-q2","U9","Off-puck support","support-spacing","multi","coaching","What might extra separation give Navy2?"
"exp26-u9-002","exp26-u9-002-q3","U9","Off-puck support","support-spacing","position","coaching","Move YOU into separate space while keeping Navy2 in view."
"exp26-u9-002","exp26-u9-002-q4","U9","Off-puck support","support-spacing","sequence","coaching","Arrange a spacing check."
"exp26-u9-002","exp26-u9-002-q5","U9","Off-puck support","support-spacing","choice","coaching","Imagine pressure reaches Navy2 and a short outlet is needed. Should YOU always move farther away?"
"exp26-u9-002","exp26-u9-002-q6","U9","Off-puck support","support-spacing","explain","coaching","Why is more space not the same as going as far away as possible?"
"exp26-u9-002","exp26-u9-002-q7","U9","Off-puck support","support-spacing","choice","coaching","Imagine Gold1 skates across to the same side of Navy2 as YOU. What is a useful first response?"
"exp26-u9-002","exp26-u9-002-q8","U9","Off-puck support","support-spacing","multi","coaching","What two relationships should shape your spacing?"
"exp26-u9-002","exp26-u9-002-q9","U9","Off-puck support","support-spacing","position","coaching","Place YOU on the side of Navy2 away from Gold1, with room for Navy2 to handle the puck."
"exp26-u9-002","exp26-u9-002-q10","U9","Off-puck support","support-spacing","explain","coaching","How can Navy3 change your support choice?"
"exp26-u9-003","exp26-u9-003-q1","U9","Passing","near-far-support","choice","scene","Which teammate is nearer YOU?"
"exp26-u9-003","exp26-u9-003-q2","U9","Passing","near-far-support","choice","scene","Where is Gold1 standing in this picture?"
"exp26-u9-003","exp26-u9-003-q3","U9","Passing","near-far-support","multi","coaching","What should you compare besides distance?"
"exp26-u9-003","exp26-u9-003-q4","U9","Passing","near-far-support","position","coaching","Move YOU a little to inspect a different passing angle."
"exp26-u9-003","exp26-u9-003-q5","U9","Passing","near-far-support","choice","coaching","Imagine Gold2 closes Navy3's line before you pass. What could you do?"
"exp26-u9-003","exp26-u9-003-q6","U9","Passing","near-far-support","explain","coaching","Why might the farther teammate be worth a look here?"
"exp26-u9-003","exp26-u9-003-q7","U9","Passing","near-far-support","choice","coaching","Imagine Gold1 moves off the line to Navy2 and comes at YOU from the side. What can change?"
"exp26-u9-003","exp26-u9-003-q8","U9","Passing","near-far-support","multi","coaching","Which two checks help YOU judge a pass to Navy3?"
"exp26-u9-003","exp26-u9-003-q9","U9","Passing","near-far-support","position","coaching","Place YOU where the puck has more room from Gold1 and both teammates stay ahead of YOU."
"exp26-u9-003","exp26-u9-003-q10","U9","Passing","near-far-support","explain","coaching","If both teammates were covered, what could YOU do with the puck instead?"
"exp26-u9-004","exp26-u9-004-q1","U9","Scanning","receive-rescan","choice","scene","Where did YOU receive the puck?"
"exp26-u9-004","exp26-u9-004-q2","U9","Scanning","receive-rescan","multi","coaching","Which locations are useful to update now?"
"exp26-u9-004","exp26-u9-004-q3","U9","Scanning","receive-rescan","sequence","coaching","Arrange one receive-and-read routine."
"exp26-u9-004","exp26-u9-004-q4","U9","Scanning","receive-rescan","position","coaching","Move YOU a little toward centre ice to inspect the support picture."
"exp26-u9-004","exp26-u9-004-q5","U9","Scanning","receive-rescan","choice","coaching","Imagine Navy3 leaves the boards before your next action. What should change?"
"exp26-u9-004","exp26-u9-004-q6","U9","Scanning","receive-rescan","explain","coaching","What did you need to learn again after receiving?"
"exp26-u9-004","exp26-u9-004-q7","U9","Scanning","receive-rescan","choice","coaching","Gold1 stands almost in the line from the puck to Navy2. Which navy option is clearer right now?"
"exp26-u9-004","exp26-u9-004-q8","U9","Scanning","receive-rescan","multi","coaching","Which two facts about the gold players matter most right now?"
"exp26-u9-004","exp26-u9-004-q9","U9","Scanning","receive-rescan","position","coaching","Place YOU where there is more room from Gold1 before choosing an option."
"exp26-u9-004","exp26-u9-004-q10","U9","Scanning","receive-rescan","explain","coaching","Why can the picture change between a pass leaving and the puck arriving?"
"exp26-u9-005","exp26-u9-005-q1","U9","Puck control","board-side-puck-control","choice","scene","Which teammate is farther from the side boards?"
"exp26-u9-005","exp26-u9-005-q2","U9","Puck control","board-side-puck-control","multi","coaching","Which two things deserve a look before moving?"
"exp26-u9-005","exp26-u9-005-q3","U9","Puck control","board-side-puck-control","position","coaching","Explore a little inside space while keeping Navy2 available."
"exp26-u9-005","exp26-u9-005-q4","U9","Puck control","board-side-puck-control","sequence","coaching","Arrange a careful control check."
"exp26-u9-005","exp26-u9-005-q5","U9","Puck control","board-side-puck-control","choice","coaching","Imagine Gold1 moves inside instead. Should you keep using the same inside spot?"
"exp26-u9-005","exp26-u9-005-q6","U9","Puck control","board-side-puck-control","explain","coaching","How do the boards change the room you can use?"
"exp26-u9-005","exp26-u9-005-q7","U9","Puck control","board-side-puck-control","choice","coaching","Gold1 stands between YOU and the net. Where does the open route to Navy2 run?"
"exp26-u9-005","exp26-u9-005-q8","U9","Puck control","board-side-puck-control","multi","coaching","What two things happen if YOU keep going toward the corner?"
"exp26-u9-005","exp26-u9-005-q9","U9","Puck control","board-side-puck-control","position","coaching","Move Navy2 closer to give YOU a short, clear outlet."
"exp26-u9-005","exp26-u9-005-q10","U9","Puck control","board-side-puck-control","explain","coaching","What would YOU say out loud to Navy2 from this spot?"
"exp26-u9-006","exp26-u9-006-q1","U9","Scanning","corner-pickup-scan","choice","scene","What is the puck's state at this freeze?"
"exp26-u9-006","exp26-u9-006-q2","U9","Scanning","corner-pickup-scan","multi","coaching","What could YOU find before the pickup?"
"exp26-u9-006","exp26-u9-006-q3","U9","Scanning","corner-pickup-scan","choice","coaching","You spotted Gold1 and Navy2 before moving. When should you look for them again?"
"exp26-u9-006","exp26-u9-006-q4","U9","Scanning","corner-pickup-scan","position","coaching","Show a nearby approach point while keeping the pressure side in mind."
"exp26-u9-006","exp26-u9-006-q5","U9","Scanning","corner-pickup-scan","choice","coaching","Imagine Gold1 moves to the boards side. What should you check again?"
"exp26-u9-006","exp26-u9-006-q6","U9","Scanning","corner-pickup-scan","explain","coaching","Why should finding the puck not be your only job here?"
